"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000263317","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000263317","0.055","0.0","0.0","0.058","0.0",,"0.0","0.577","0.563"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000357726","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000357726","0.063","0.0","0.5","0.072","0.0",,"0.0","0.604","0.197"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000302961","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000302961","0.114","0.0","0.0","0.1","0.0",,"0.0","0.612","0.553"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000291700","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000291700","0.0","0.0","0.5","0.0","0.0",,"0.0","0.676","0.38"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000295897","0.0","0.0","0.0","0.0","0.0",,"0.0","0.697","0.697"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000364210","0.06","0.0","0.5","0.0","0.0",,"0.0","0.711","0.435"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000498321","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000498321","0.066","0.0","0.0","0.074","0.0",,"0.0","0.734","0.717"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000345347","0.067","0.0","0.5","0.068","0.0",,"0.0","0.739","0.471"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000284981","0.082","0.0","0.5","0.0","0.0",,"0.0","0.753","0.505"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000371067","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000371067","0.086","0.0","0.5","0.11","0.0",,"0.0","0.783","0.531"
