interaction,stringdb::score,stringdb::experiments,stringdb::coexpression,stringdb::cooccurrence,stringdb::textmining
pp,0.907,0.068,0.057,0.0,0.075
pp,0.928,0.259,0.055,0.0,0.099
pp,0.773,0.084,0.0,0.0,0.348
pp,0.779,0.267,0.044,0.0,0.206
pp,0.711,0.0,0.06,0.0,0.435
pp,0.713,0.0,0.0,0.0,0.713
pp,0.716,0.0,0.06,0.0,0.711
pp,0.739,0.068,0.067,0.0,0.471
pp,0.741,0.0,0.103,0.0,0.723
pp,0.753,0.0,0.082,0.0,0.505
pp,0.783,0.11,0.086,0.0,0.531
pp,0.824,0.041,0.088,0.0,0.815
pp,0.829,0.0,0.0,0.0,0.672
pp,0.832,0.545,0.057,0.107,0.257
pp,0.86,0.0,0.052,0.0,0.859
pp,0.905,0.0,0.055,0.0,0.846
pp,0.922,0.0,0.062,0.0,0.921
pp,0.944,0.511,0.086,0.0,0.778
pp,0.955,0.058,0.082,0.0,0.549
pp,0.962,0.545,0.118,0.0,0.721
pp,0.97,0.275,0.063,0.0,0.62
pp,0.983,0.098,0.061,0.0,0.829
pp,0.99,0.787,0.069,0.0,0.557
pp,0.751,0.0,0.087,0.0,0.739
pp,0.754,0.0,0.0,0.0,0.754
pp,0.832,0.0,0.0,0.0,0.832
pp,0.837,0.0,0.082,0.0,0.83
pp,0.873,0.0,0.055,0.0,0.733
pp,0.922,0.0,0.055,0.0,0.836
pp,0.93,0.0,0.074,0.0,0.309
pp,0.996,0.512,0.081,0.0,0.993
pp,0.998,0.099,0.049,0.1,0.984
pp,0.998,0.095,0.0,0.106,0.984
pp,0.7,0.0,0.055,0.0,0.696
pp,0.701,0.0,0.043,0.0,0.701
pp,0.72,0.0,0.0,0.0,0.72
pp,0.725,0.0,0.0,0.0,0.725
pp,0.734,0.051,0.08,0.0,0.72
pp,0.773,0.051,0.055,0.0,0.768
pp,0.803,0.0,0.076,0.0,0.796
pp,0.807,0.0,0.155,0.0,0.781
pp,0.897,0.0,0.0,0.0,0.897
pp,0.898,0.0,0.0,0.0,0.898
pp,0.974,0.0,0.086,0.0,0.972
pp,0.974,0.0,0.451,0.0,0.928
pp,0.985,0.926,0.0,0.0,0.818
pp,0.989,0.0,0.376,0.0,0.974
pp,0.994,0.0,0.619,0.0,0.976
pp,0.999,0.0,0.961,0.0,0.983
pp,0.712,0.0,0.06,0.0,0.706
pp,0.723,0.0,0.175,0.0,0.678
pp,0.727,0.0,0.109,0.0,0.706
pp,0.73,0.0,0.058,0.0,0.726
pp,0.737,0.0,0.142,0.0,0.706
pp,0.744,0.0,0.0,0.0,0.744
pp,0.746,0.0,0.124,0.0,0.721
pp,0.746,0.0,0.181,0.0,0.702
pp,0.762,0.0,0.268,0.0,0.688
pp,0.763,0.292,0.156,0.0,0.635
pp,0.776,0.0,0.056,0.0,0.773
pp,0.783,0.0,0.185,0.0,0.745
pp,0.785,0.0,0.193,0.0,0.745
pp,0.786,0.0,0.233,0.0,0.733
pp,0.794,0.0,0.102,0.0,0.781
pp,0.806,0.0,0.11,0.0,0.79
pp,0.828,0.0,0.042,0.0,0.828
pp,0.83,0.0,0.089,0.0,0.821
pp,0.836,0.0,0.0,0.0,0.836
pp,0.842,0.0,0.217,0.0,0.807
pp,0.853,0.0,0.194,0.0,0.825
pp,0.869,0.051,0.055,0.0,0.866
pp,0.873,0.0,0.0,0.0,0.873
pp,0.912,0.0,0.271,0.0,0.885
pp,0.949,0.0,0.133,0.0,0.944
pp,0.949,0.051,0.275,0.0,0.932
pp,0.97,0.292,0.0,0.0,0.959
pp,0.975,0.0,0.0,0.0,0.975
pp,0.986,0.0,0.181,0.0,0.984
pp,0.994,0.0,0.776,0.0,0.962
pp,0.996,0.0,0.515,0.0,0.989
pp,0.998,0.0,0.616,0.0,0.993
pp,0.72,0.0,0.0,0.0,0.72
pp,0.741,0.0,0.113,0.0,0.72
pp,0.746,0.046,0.055,0.0,0.741
pp,0.778,0.0,0.0,0.0,0.778
pp,0.788,0.045,0.078,0.0,0.779
pp,0.827,0.0,0.105,0.0,0.815
pp,0.861,0.046,0.151,0.0,0.747
pp,0.885,0.045,0.164,0.0,0.868
pp,0.898,0.0,0.0,0.0,0.898
pp,0.932,0.0,0.109,0.0,0.927
pp,0.934,0.0,0.149,0.0,0.926
pp,0.963,0.0,0.064,0.0,0.963
pp,0.978,0.0,0.164,0.0,0.975
pp,0.985,0.0,0.062,0.0,0.985
pp,0.708,0.0,0.069,0.0,0.7
pp,0.709,0.0,0.0,0.0,0.709
pp,0.767,0.0,0.119,0.0,0.747
pp,0.767,0.0,0.117,0.0,0.747
pp,0.768,0.0,0.14,0.0,0.741
pp,0.791,0.0,0.094,0.0,0.779
pp,0.806,0.0,0.0,0.0,0.806
pp,0.811,0.0,0.049,0.0,0.81
pp,0.877,0.135,0.042,0.0,0.864
pp,0.904,0.0,0.055,0.0,0.903
pp,0.916,0.0,0.069,0.0,0.178
pp,0.922,0.0,0.067,0.0,0.234
pp,0.943,0.0,0.259,0.0,0.927
pp,0.944,0.0,0.255,0.0,0.929
pp,0.947,0.0,0.27,0.0,0.931
pp,0.972,0.0,0.213,0.0,0.967
pp,0.999,0.0,0.146,0.0,0.999
pp,0.999,0.735,0.154,0.0,0.999
pp,0.999,0.292,0.133,0.0,0.996
pp,0.703,0.044,0.049,0.0,0.7
pp,0.706,0.0,0.042,0.0,0.706
pp,0.709,0.0,0.084,0.0,0.696
pp,0.723,0.0,0.067,0.0,0.716
pp,0.761,0.057,0.06,0.0,0.752
pp,0.771,0.0,0.091,0.0,0.759
pp,0.778,0.0,0.0,0.0,0.778
pp,0.781,0.0,0.066,0.0,0.775
pp,0.918,0.0,0.067,0.0,0.916
pp,0.918,0.0,0.067,0.0,0.916
pp,0.932,0.0,0.06,0.0,0.93
pp,0.973,0.044,0.056,0.0,0.973
pp,0.993,0.0,0.06,0.0,0.993
pp,0.994,0.0,0.116,0.0,0.994
pp,0.996,0.0,0.115,0.0,0.995
pp,0.706,0.0,0.51,0.0,0.424
pp,0.961,0.05,0.072,0.0,0.96
pp,0.702,0.0,0.0,0.0,0.702
pp,0.72,0.623,0.055,0.0,0.277
pp,0.739,0.331,0.0,0.0,0.626
pp,0.778,0.0,0.0,0.0,0.778
pp,0.792,0.0,0.0,0.0,0.792
pp,0.808,0.0,0.0,0.0,0.808
pp,0.827,0.0,0.055,0.0,0.825
pp,0.848,0.645,0.042,0.0,0.59
pp,0.858,0.762,0.049,0.0,0.423
pp,0.859,0.83,0.042,0.0,0.208
pp,0.889,0.621,0.106,0.0,0.701
pp,0.89,0.0,0.0,0.0,0.89
pp,0.942,0.0,0.042,0.0,0.443
pp,0.944,0.292,0.138,0.0,0.916
pp,0.954,0.803,0.056,0.0,0.777
pp,0.979,0.0,0.042,0.0,0.943
pp,0.986,0.723,0.0,0.0,0.564
pp,0.991,0.249,0.053,0.0,0.899
pp,0.993,0.622,0.0,0.0,0.842
pp,0.994,0.315,0.053,0.0,0.931
pp,0.999,0.928,0.042,0.0,0.988
pp,0.826,0.0,0.563,0.0,0.618
pp,0.837,0.0,0.443,0.0,0.72
pp,0.92,0.0,0.62,0.0,0.8
pp,0.95,0.0,0.671,0.0,0.855
pp,0.95,0.0,0.661,0.0,0.86
pp,0.713,0.0,0.144,0.0,0.679
pp,0.716,0.0,0.152,0.0,0.678
pp,0.734,0.0,0.138,0.0,0.433
pp,0.808,0.129,0.072,0.0,0.782
pp,0.85,0.0,0.19,0.0,0.66
pp,0.867,0.129,0.122,0.0,0.694
pp,0.957,0.129,0.262,0.0,0.882
pp,0.974,0.405,0.088,0.0,0.917
pp,0.981,0.0,0.087,0.0,0.815
pp,0.999,0.988,0.205,0.0,0.999
pp,0.748,0.074,0.0,0.0,0.583
pp,0.782,0.0,0.094,0.0,0.631
pp,0.799,0.126,0.0,0.0,0.78
pp,0.849,0.319,0.042,0.0,0.788
pp,0.864,0.292,0.067,0.0,0.638
pp,0.881,0.07,0.0,0.0,0.766
pp,0.901,0.292,0.0,0.0,0.787
pp,0.955,0.276,0.0,0.0,0.433
pp,0.958,0.095,0.049,0.0,0.571
pp,0.757,0.741,0.044,0.0,0.101
pp,0.775,0.521,0.042,0.0,0.549
pp,0.83,0.0,0.0,0.0,0.729
pp,0.844,0.0,0.0,0.0,0.844
pp,0.975,0.901,0.0,0.0,0.758
pp,0.98,0.892,0.115,0.0,0.814
pp,0.999,0.971,0.05,0.0,0.995
pp,0.802,0.41,0.0,0.0,0.678
pp,0.807,0.784,0.088,0.0,0.099
pp,0.808,0.0,0.0,0.0,0.808
pp,0.836,0.093,0.0,0.0,0.668
pp,0.858,0.846,0.057,0.0,0.102
